_id,timestamp,cafe_id,seat,gender,act,group,menu
64ed854c241a11ac3221126c,2023-08-02T14:40:24.265Z,20,60.0,"{'male': 0, 'female': 0}",chatting,"{'average': 3.0, 'cluster': [4, 0, 2, 3, 0]}",ice
64ed854c241a11ac3221126d,2023-08-02T14:41:24.680Z,20,100.0,"{'male': 50.0, 'female': 50.0}",chatting,"{'average': 3.2, 'cluster': [4, 2, 2, 4, 4]}",ice
64ed854c241a11ac3221126e,2023-08-02T14:42:25.622Z,20,80.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.75, 'cluster': [4, 0, 2, 4, 1]}",ice
64ed854c241a11ac3221126f,2023-08-02T14:43:25.765Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.5, 'cluster': [4, 0, 2, 3, 1]}",ice
64ed854c241a11ac32211270,2023-08-02T14:44:26.528Z,20,60.0,"{'male': 20.0, 'female': 80.0}",chatting,"{'average': 3.5, 'cluster': [4, 0, 2, 4, 4]}",ice
64ed854c241a11ac32211271,2023-08-02T14:45:26.774Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.5, 'cluster': [4, 0, 1, 4, 1]}",ice
64ed854c241a11ac32211272,2023-08-02T14:46:27.454Z,20,100.0,"{'male': 0, 'female': 0}",chatting,"{'average': 3.2, 'cluster': [4, 2, 2, 4, 4]}",ice
64ed854c241a11ac32211273,2023-08-02T14:47:28.116Z,20,60.0,"{'male': 16.67, 'female': 83.33}",chatting,"{'average': 2.4, 'cluster': [4, 1, 2, 4, 1]}",ice
64ed854c241a11ac32211274,2023-08-02T14:48:28.696Z,20,80.0,"{'male': 0, 'female': 0}",chatting,"{'average': 3.0, 'cluster': [4, 1, 2, 4, 4]}",ice
64ed854c241a11ac32211275,2023-08-02T14:49:29.116Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.0, 'cluster': [2, 1, 0, 3, 0]}",ice
64ed854c241a11ac32211276,2023-08-02T14:50:29.687Z,20,40.0,"{'male': 25.0, 'female': 75.0}",chatting,"{'average': 4.0, 'cluster': [4, 0, 0, 4, 0]}",ice
64ed854c241a11ac32211277,2023-08-02T14:51:30.480Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.25, 'cluster': [4, 1, 2, 2, 0]}",ice
64ed854c241a11ac32211278,2023-08-02T14:52:31.069Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.5, 'cluster': [3, 0, 0, 2, 0]}",ice
64ed854c241a11ac32211279,2023-08-02T14:53:32.045Z,20,40.0,"{'male': 50.0, 'female': 50.0}",chatting,"{'average': 2.67, 'cluster': [4, 0, 1, 3, 0]}",ice
64ed854c241a11ac3221127a,2023-08-02T14:54:32.578Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.5, 'cluster': [2, 0, 0, 3, 0]}",ice
64ed854c241a11ac3221127b,2023-08-02T14:55:32.965Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.5, 'cluster': [3, 0, 0, 2, 0]}",ice
64ed854c241a11ac3221127c,2023-08-02T14:56:33.809Z,20,40.0,"{'male': 66.67, 'female': 33.33}",chatting,"{'average': 3.5, 'cluster': [4, 0, 0, 3, 0]}",ice
64ed854c241a11ac3221127d,2023-08-02T14:57:34.710Z,20,40.0,"{'male': 0, 'female': 0}",chatting,"{'average': 2.5, 'cluster': [2, 0, 0, 3, 0]}",ice
